更新时间: 2026-06-01 04:15:15（北京时间）

更新时间,#genre#
2026-06-01 04:15:15,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.65:5140$四川移动
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.130:5140$四川移动
CCTV1,http://60.223.72.54:8002/rtp/226.0.2.153:9136$山西联通
CCTV2,http://183.220.107.138:4022/rtp/239.11.0.108:5140$四川移动
CCTV2,http://60.223.72.54:8002/rtp/226.0.2.154:9144$山西联通
CCTV3,http://183.220.107.138:4022/rtp/239.11.0.101:5140$四川移动
CCTV3,http://60.223.72.54:8002/rtp/226.0.2.208:9576$山西联通
CCTV4,http://183.220.107.138:4022/rtp/239.11.0.109:5140$四川移动
CCTV4,http://60.223.72.54:8002/rtp/226.0.2.156:9160$山西联通
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.66:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.10.0.200:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.100:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.236:5140$四川移动
CCTV5,http://60.223.72.54:8002/rtp/226.0.2.209:9584$山西联通
CCTV5+,http://183.220.107.138:4022/rtp/239.11.0.241:5140$四川移动
CCTV5+,http://60.223.72.54:8002/rtp/226.0.2.168:9256$山西联通
CCTV6,http://183.220.107.138:4022/rtp/239.11.0.102:5140$四川移动
CCTV6,http://60.223.72.54:8002/rtp/226.0.2.210:9592$山西联通
CCTV7,http://183.220.107.138:4022/rtp/239.11.0.110:5140$四川移动
CCTV7,http://60.223.72.54:8002/rtp/226.0.2.159:9184$山西联通
CCTV8,http://183.220.107.138:4022/rtp/239.11.0.103:5140$四川移动
CCTV8,http://60.223.72.54:8002/rtp/226.0.2.211:9600$山西联通
CCTV9,http://183.220.107.138:4022/rtp/239.11.0.111:5140$四川移动
CCTV9,http://60.223.72.54:8002/rtp/226.0.2.161:9200$山西联通
CCTV10,http://183.220.107.138:4022/rtp/239.11.0.112:5140$四川移动
CCTV10,http://60.223.72.54:8002/rtp/226.0.2.162:9208$山西联通
CCTV11,http://183.220.107.138:4022/rtp/239.11.0.22:5140$四川移动
CCTV12,http://183.220.107.138:4022/rtp/239.11.0.113:5140$四川移动
CCTV12,http://60.223.72.54:8002/rtp/226.0.2.164:9224$山西联通
CCTV13,http://183.220.107.138:4022/rtp/239.11.0.24:5140$四川移动
CCTV13,http://60.223.72.54:8002/rtp/226.0.2.165:9232$山西联通
CCTV14,http://183.220.107.138:4022/rtp/239.11.0.114:5140$四川移动
CCTV14,http://60.223.72.54:8002/rtp/226.0.2.166:9240$山西联通
CCTV15,http://183.220.107.138:4022/rtp/239.11.0.26:5140$四川移动
CCTV16,http://60.223.72.54:8002/rtp/226.0.2.169:9264$山西联通
CCTV17,http://183.220.107.138:4022/rtp/239.11.0.107:5140$四川移动
CCTV17,http://60.223.72.54:8002/rtp/226.0.2.170:9272$山西联通
CCTV4K,http://183.220.107.138:4022/rtp/239.10.0.108:5140$四川移动
兵器科技,http://60.223.72.54:8002/rtp/226.0.2.223:9696$山西联通
风云音乐,http://60.223.72.54:8002/rtp/226.0.2.220:9672$山西联通
风云足球,http://60.223.72.54:8002/rtp/226.0.2.225:9712$山西联通
风云剧场,http://183.220.107.138:4022/rtp/239.10.0.203:5140$四川移动
风云剧场,http://60.223.72.54:8002/rtp/226.0.2.227:9728$山西联通
怀旧剧场,http://60.223.72.54:8002/rtp/226.0.2.224:9704$山西联通
第一剧场,http://60.223.72.54:8002/rtp/226.0.2.221:9680$山西联通
女性时尚,http://60.223.72.54:8002/rtp/226.0.2.226:9720$山西联通
世界地理,http://60.223.72.54:8002/rtp/226.0.2.222:9688$山西联通
央视台球,http://60.223.72.54:8002/rtp/226.0.2.216:9640$山西联通
高尔夫网球,http://183.220.107.138:4022/rtp/239.10.0.224:5140$四川移动
